url,label
google.com/,legitimate
discord.com/,legitimate
discord.gg/,legitimate
youtube.com/,legitimate
http://www.pypal.com/,phishing
http://www.bankofamerica-online.com/,phishing
https://2021-free-robux-generator.000webhostapp.com,phishing
https://reportegrupal12.000webhostapp.com,phishing
http://srnbc-card.com.y8uet5y.cn,phishing
https://vvpaes-me-index.aqkrdf.cn,phishing
https://vvpaes-me-index.axiild.cn,phishing
https://vvpaes-me-index.beogqu.cn,phishing
https://vvpaes-me-index.bxdvpv.cn,phishing
https://vvpaes-me-index.cqsvgi.cn,phishing
https://vvpaes-me-index.daxdqc.cn,phishing
https://vvpaes-me-index.dezpcv.cn,phishing
https://vvpaes-me-index.dlicdq.cn,phishing
https://vvpaes-me-index.dlofmk.cn,phishing
https://vvpaes-me-index.dowixy.cn,phishing
https://vvpaes-me-index.ebzhzm.cn,phishing
https://vvpaes-me-index.egvtpp.cn,phishing
https://vvpaes-me-index.sllsv7.cn,phishing
https://www.amaozn.co.jp.lk0vyu.cn,phishing
https://www.amaozn.co.jp.wxr8d1.cn,phishing
https://www.aqdwnz.cn/aSciTDI1/dbs-wa,phishing
http://www.cdcacs.cn/nQCbiNp5/dbs-wa,phishing
https://www.etc-maisal.hgqzwa0.cn,phishing
https://www.etc-meisai.8oyv0db.cn,phishing
https://www.etc-meisai.jp.ejjdsik.cn,phishing
https://www.etc-meisai.jp.q1k1h98.cn,phishing
http://www.nanwza.cn/6Xc0aHGG/dbs-wa,phishing
http://www.qgxauo.cn/u6iJPA6u/dbs-wa,phishing
http://www.tkyncp.cn/wSqz2ojG/dbs-wa,phishing
http://www.tkyncp.cn/wRhKzR4l/dbs-wa,phishing
0x1trade.com,phishing
0xmons.net,phishing
1337-skull.xyz,phishing
1984-redux.xyz,phishing
2021cs.net.ru,phishing
2021y.ru,phishing
2022yg.com,phishing
2023g.com,phishing
22-space.org,phishing
23c7481e.hbrex.cn,phishing
2faceteam.ml,phishing
3007pc.asia,phishing
3ds-security.xyz,phishing
546cd327-cyber-lan.site,phishing
5esportspro.org,phishing
7dgw.com,phishing
90s-kids.xyz,phishing
955013gm.asia,phishing
99box.com,phishing
abardon.net.ru,phishing
accept2.repl.co,phishing
accgen.best,phishing
accountauthorization.xyz,phishing
accrpn.asia,phishing
accrpr.asia,phishing
accrpre.asia,phishing
accrprv.asia,phishing
accrprx.asia,phishing
ach2x.net.ru,phishing
adam-bomb.xyz,phishing
adventurecat.tk,phishing
affix-cup.click,phishing
affix-cup.link,phishing
affixarena.com,phishing
affixcup.it,phishing
agvaggdgdgdgdfsgdsaf.herokuapp.com,phishing
ai-meu-cu.com,phishing
ajianseo.com,phishing
akatori.fun,phishing
akatorigame.xyz,phishing
akatorii.repl.co,phishing
alexandrkost.ru,phishing
alexs1.ru,phishing
allin1-digitalcontent.net,phishing
alm-gaming.com,phishing
